Transcript	Gene	log2fc	pvalue	FDR
XM_078030531.1	Fancc	NA	NA	NA
XM_078032895.1	LOC101976000	NA	NA	NA
XR_013423471.1	LOC144365186	NA	NA	NA
XR_013434564.1	LOC120887996	NA	NA	NA
XR_013428452.1;XR_013428451.1;XM_078028104.1	LOC144369033	NA	NA	NA
XR_013426763.1	LOC144367406	NA	NA	NA
XM_078024742.1	LOC101972073	NA	NA	NA
XM_078031835.1	Nova2	NA	NA	NA
XM_078041337.1	Qtgal	NA	NA	NA
XM_005340307.5	Ikbkb	NA	NA	NA
XM_005317591.5	Id3	-1.1922861234830138	3.3702598347513484e-09	6.71760413828797e-09
XM_013363649.4	Znf322	NA	NA	NA
XR_013425855.1	LOC144366749	NA	NA	NA
XM_078039654.1	Tpst2	NA	NA	NA
XM_005335825.5	Rpl7	-0.540155797661958	0.00011679034208019506	0.00018586650339160558
XM_005338386.5	Plpp5	0.10352307144576611	0.852610276036051	0.8880002519651037
XM_005330837.3	Cul2	NA	NA	NA
XM_040293978.2	Asph	NA	NA	NA
XM_078020549.1	Ranbp9	-0.4765665117903652	0.007856095231495861	0.010931049848037595
XM_078051724.1;XM_078051723.1;XM_078051716.1;XM_078051711.1	Clint1	-2.4795896108022912	3.3695966119497886e-27	1.2309781665356994e-26
XR_013438846.1	LOC144377772	NA	NA	NA
XM_013366102.2	LOC101960273	NA	NA	NA
XM_078020749.1	LOC144366478	NA	NA	NA
XM_078034235.1;XM_078034237.1	LOC110598132	NA	NA	NA
XM_005338929.5	Flacc1	NA	NA	NA
XR_013429048.1	LOC144369404	NA	NA	NA
XM_078046225.1	Ube2d2	-1.043464238856827	7.53246588698639e-59	5.963946475341859e-58
XM_013363406.4	Rinl	NA	NA	NA
XM_040281619.2	Brca2	NA	NA	NA
XM_005335358.4;XM_040276882.2;XM_005335357.4;XM_078022514.1;XM_005335356.5;XM_040276879.2	Kcnt2	NA	NA	NA
XM_021732920.2	LOC101977395	NA	NA	NA
XM_078051049.1	Cdca4	NA	NA	NA
XM_078029449.1	Ypel5	-2.38505988864759	1.514487086678771e-94	2.37322298497942e-93
XR_013430084.1	LOC144370154	NA	NA	NA
XM_078027037.1	Slc16a1	-3.6742179397542074	2.6697906060631433e-188	1.7344980159066442e-186
XM_040283160.2;XM_013365375.3	LOC101971760	NA	NA	NA
XM_078015222.1	LOC144364925	NA	NA	NA
XM_040293373.2;XM_013355850.4	Azin1	1.4240574907775534	4.537733518010889e-87	6.162601034234223e-86
XR_002483160.3	LOC110597361	NA	NA	NA
XR_013427461.1	LOC144367891	NA	NA	NA
XM_078039923.1;XM_078039924.1;XM_078039922.1	Tax1bp1	0.12302363483199784	0.15587387039103254	0.18845669934914194
XM_005330708.5	Ptgfr	NA	NA	NA
