Transcript	Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
XM_005317073.5	Hsph1	115.47751266619389	-3.2921798350438896	0.44576072139490014	-7.3855314679629265	1.5184561748964415e-13	7.53892971158044e-12
XR_013426757.1	LOC120887407	78.27210117047797	2.673900750790473	0.3635436989113547	7.355101350394931	1.9078230653291613e-13	9.408512673851461e-12
XM_005340041.5;XM_078023647.1	Fbxl18	689.6581069142313	3.357031813931048	0.45679796831809183	7.349051543051905	1.9961820731123454e-13	9.77863058215301e-12
XM_078023528.1	Mcm10	293.59796303093606	-2.466454970798256	0.3364577023106881	-7.33065390941982	2.2903243062330267e-13	1.1145233776291577e-11
XM_013360604.4	Znf408	75.1337899838934	-2.6757046087834593	0.3676039869443237	-7.2787692838291065	3.3687924013497025e-13	1.628545168757738e-11
XM_005322843.5	Slc10a1	946.1599034546292	-2.587835206039827	0.3562090031467556	-7.264934864584703	3.732180672857694e-13	1.792422456480937e-11
XM_005335380.4	Tpd52l1	460.6399276618308	2.3250988800048025	0.3205359988988612	7.253783936881428	4.052864581406513e-13	1.9337953859853935e-11
XM_005338903.5;XM_040294699.2	Casp8	148.53196881431316	-2.224534662089157	0.3069145446347403	-7.248058786971405	4.2278711887255436e-13	2.0042837093390512e-11
XM_005333512.4	Stip1	172.927247039412	-2.302387829697058	0.31787567049601406	-7.24304513807051	4.387208139218953e-13	2.066487526088517e-11
XM_078050425.1;XM_078050424.1	LOC101957018	973.5034738950435	-2.96403420141057	0.41014233829886265	-7.226842792442307	4.943517939017317e-13	2.3136923449617355e-11
XM_005328418.4	Oaf	581.5825341828782	-2.3909129041312123	0.33136680722077516	-7.215305975224767	5.381283824836039e-13	2.5026375661326086e-11
XR_005735855.2	LOC101971749	129.23331304103408	4.257849769366279	0.5902843007368536	7.213218721980566	5.464453472498277e-13	2.5253335921960592e-11
XM_078041426.1;XM_021731200.3	Ppp1r27	191.4547600315252	2.4880837166462753	0.34509121709167556	7.2099305731832075	5.59804116255729e-13	2.5709004039044354e-11
XM_005343082.5	Rnf168	675.6098103219771	2.1926978099994723	0.3042090221160259	7.207865811301196	5.683559621382635e-13	2.5921287538716918e-11
XM_013362106.4	Nolc1	230.3763518189778	2.0367801956237153	0.2826067226166212	7.207118701088976	5.714818428514073e-13	2.5921287538716918e-11
XR_013437017.1	LOC144376483	65.24264009031735	-3.9607969710112023	0.5499917686874192	-7.201556816866238	5.952891138860428e-13	2.6835487170764678e-11
XM_078038802.1;XM_078038800.1;XM_078038799.1	Ccdc74b	65.83427543928947	4.549540788394105	0.6324983607352936	7.1929685052545596	6.339757082366997e-13	2.8405204293434567e-11
XM_021723813.3;XM_078050591.1;XM_013356851.4	Vipas39	133.8868379850619	-1.94804080636018	0.27217284958735943	-7.1573663916647075	8.224167871909394e-13	3.662496092290317e-11
XM_040273410.2	Dnajc9	63.0653855899757	2.7776623403088387	0.388392997403573	7.151679764768296	8.572236441408967e-13	3.794505624787536e-11
XM_005327257.4	Etf1	834.9943385008783	1.6355646221341804	0.22877741574185578	7.149152449469457	8.731531872842545e-13	3.84187402405072e-11
XM_021725781.3;XM_005316411.4	Rpusd2	60.014041373591375	2.7281882588911937	0.3817216713488493	7.147061494441447	8.865516926481185e-13	3.877608236653795e-11
XM_040287917.2	Exosc10	435.37718607586413	1.624207439920932	0.22744993832216992	7.140944736684582	9.269161523266967e-13	4.030165613784951e-11
XM_013357520.4	Zfp36l1	1087.334116141634	-2.7326412645803693	0.38278532819564537	-7.138834911623596	9.412529675043316e-13	4.0684275324834287e-11
XM_078045261.1	Cracr2b	131.53400774407538	2.9737775285307997	0.4169464716704804	7.132276516494963	9.872228969246028e-13	4.242171840118118e-11
XM_005336841.4	Sds	348.9946314304177	-3.7863023685357726	0.5316169038270182	-7.122238479022839	1.0618811242845384e-12	4.5364549425830164e-11
XM_005331169.5	Mcl1	213.212969403603	-2.3289225799461777	0.3274621236155719	-7.112036513512153	1.1434299894259999e-12	4.856603215203611e-11
XM_078033800.1	Ankrd24	119.59567363756418	2.8171272512704757	0.3962981059635934	7.108606397249034	1.1722051522990228e-12	4.9502088845363335e-11
XM_005322350.5	Pah	10414.861546846112	-1.9634815282872509	0.2767048928918181	-7.0959407611736856	1.2847450408998172e-12	5.3732521220474626e-11
XR_013435618.1	LOC144375564	43.82356461805032	-3.817628454053893	0.5380201760042195	-7.0956975673417	1.2870064962987935e-12	5.3732521220474626e-11
XM_021728346.3;XM_021728345.3	Acbd4	119.58064709865464	-2.0687721783001547	0.2917596212200708	-7.0906733757366105	1.3346099887095334e-12	5.540516495501498e-11
XM_005341838.5	Ufc1	140.162724762601	-2.0101660379027395	0.28378854272486453	-7.083323444285814	1.4073766802775643e-12	5.809777441954799e-11
XM_005337212.5	Clu	874.6626422617461	-1.6352719995173985	0.2308886322518125	-7.082514126264705	1.4156232597959242e-12	5.811173024011426e-11
XM_078038482.1;XM_078038484.1;XM_078038486.1	Nek4	131.25870004587742	-2.132830320970857	0.3017087037462746	-7.0691706751837184	1.5586235439641207e-12	6.362647667249088e-11
XM_005333490.5	Ccdc88b	92.23868847568532	2.802893861054802	0.39710169762422254	7.058377936493189	1.684573784526104e-12	6.838811142926969e-11
