Transcript	Gene	log2fc	pvalue	FDR
XM_005315669.5	Cox7c	2.1384776767496807	5.4990608793045175e-93	7.377236062553158e-91
XM_005319668.5	Retreg1	2.446646461462437	2.6037525028940152e-92	3.464880649214044e-90
XM_005329193.5	Cyp4v2	1.9561152371586024	3.6261585319971106e-92	4.786819354918746e-90
XM_078049925.1;XM_078049927.1	Hnrnph1	0.7649836390725412	1.0227369099474725e-90	1.3393795040510512e-88
XM_078049936.1;XM_013364782.4;XM_005339346.3;XM_013364781.4	Hnrnph1	0.7643720339833187	1.328491300140236e-90	1.7260972396546484e-88
XM_021735964.3	Hnrnph1	0.7629327436262722	2.8264435092094184e-90	3.643683151989423e-88
XM_005333788.5	Rpl32	1.5730147609691547	4.859087338429446e-90	6.215488385381728e-88
XM_005342066.5	LOC101974266	1.0557970337236766	3.776884227369732e-89	4.794028202755996e-87
XM_013360686.4	Elovl6	3.0546916286003905	5.453013470321776e-89	6.868715669754169e-87
XM_005318731.5	Kcnk5	1.6198751290313345	7.52927362556286e-89	9.412162431470663e-87
XM_040281562.2	Atp7b	1.8720227057413539	7.819096410360172e-89	9.700970666718286e-87
XM_005338547.5	Mat1a	0.9498234374469499	1.0687266042783992e-88	1.3160490818804377e-86
XR_013423412.1	Atp7b	1.8757084164241893	1.5183334894271244e-88	1.855853400669406e-86
XM_005318239.4	Cfap20	1.2235040065319058	2.934709628645059e-87	3.560709086931773e-85
XM_040281563.2	Atp7b	1.8569314697438437	4.412183979878272e-87	5.314266266567252e-85
XM_021721284.3	LOC101974266	1.0389781470741368	7.343006471841979e-87	8.780213753033659e-85
XM_005330729.5;XM_013360949.4;XM_005330730.5	Aplp2	1.0998888650125354	1.9250868307966067e-86	2.285313510429842e-84
XM_021727009.3	Aldob	1.0641347877387384	2.359790763113115e-86	2.7813505272949656e-84
XM_013365581.4	Hpx	0.801938068218426	4.9133312486692526e-85	5.749991413779527e-83
XM_005319195.5	Eepd1	-1.1352468869084278	5.986564473646816e-85	6.956640871806063e-83
XM_021730127.3	Aplp2	1.0938557969443208	7.521630840612177e-85	8.679330804261647e-83
XM_005340636.4	Rpl10	1.3589894483164193	9.266268148548997e-85	1.0618242411056042e-82
XM_078038942.1	Acacb	1.6353329964212013	4.395089178656515e-84	5.001611485311114e-82
XM_078038344.1	Flnb	-1.0255467385767152	2.5945237415478268e-83	2.9323449492658007e-81
XM_040278104.2	Srrt	1.2007151964165486	3.9602542566842045e-83	4.445452754390888e-81
XM_078038343.1;XM_078038341.1;XM_078038340.1;XM_078038339.1;XM_078038338.1;XM_078038337.1	Flnb	-1.0119886331119192	2.455552531052969e-82	2.7377751564125033e-80
XM_013360047.4;XM_005328477.5	Srrt	1.133986231434207	1.2025616701924627e-81	1.3317765181104582e-79
XM_078023813.1;XM_078023814.1	Srrt	1.1316524481856844	2.793771336300216e-81	3.0733347213526574e-79
XM_005324099.5	Klf9	0.9518534266183816	1.4529301655484054e-80	1.5877351431598834e-78
XM_005320751.5	Oat	2.646451837199003	1.8595237486775814e-80	2.0186843011137348e-78
XM_078024688.1	Oat	2.63760052188494	7.26404622661622e-80	7.8342501166924335e-78
XM_078025867.1	Pdk4	1.0018474836308184	2.0850395773559528e-78	2.234106367918869e-76
XM_078028753.1	Il1r1	1.373302184884013	2.984789077289939e-78	3.1775486815716954e-76
XM_005327970.5	Gldc	1.9397439855968746	4.3531028962238005e-78	4.6045224929864696e-76
NM_001282267.1	Pdk4	0.9982086105702853	9.229493884492062e-78	9.700374432356913e-76
XR_013434659.1	Acacb	1.56927848714216	5.537477402136881e-77	5.783159152700042e-75
XM_078026743.1	Rpl5	1.4675320950499204	1.3270933314113158e-76	1.3772557900388757e-74
XM_078027627.1	Arnt	-2.1132165676710257	1.6484827401695033e-76	1.700100855971061e-74
XM_013362094.4	LOC101965950	2.4149385616207972	3.396728932883294e-76	3.4813306907768463e-74
XM_013364347.4	Il1r1	1.352218628118274	7.959632552405732e-76	8.107524490570802e-74
XM_005337212.5	Clu	0.9854066557235777	2.4334619514898086e-75	2.4634696724867073e-73
XM_078027623.1;XM_078027625.1;XM_078027624.1;XM_078027626.1	Arnt	-2.0853785302836094	6.110041535672212e-75	6.147670450007754e-73
XM_005324935.5	Gpd1	0.7747971139776981	1.1538095281596717e-74	1.1538794560098633e-72
XM_078040904.1	Insig1	1.3219452302291363	1.9866267204245148e-74	1.9747787658870433e-72
XM_078042040.1	A1cf	1.049804137749219	2.3889985338822723e-74	2.346480048070915e-72
XM_078042038.1;XM_021735870.3;XM_078042048.1	A1cf	1.049804137749219	2.3889985338822723e-74	2.346480048070915e-72
XM_013356138.4	LOC101968879	1.0866916969366787	1.4156384508623374e-73	1.3822159809277768e-71
XM_005329722.5	Txn	1.6371391762301408	3.653164642181642e-73	3.5459335153317224e-71
XM_005337213.5	Clu	0.9714952234370564	4.9929577579796377e-73	4.8180582435334505e-71
XM_005336675.4	Rps11	1.9504944402377309	6.308891346055559e-73	6.052500936119928e-71
XR_013426837.1	LOC101968211	0.7111956446605986	7.174488283602684e-73	6.843134749579647e-71
XM_005335105.4	Eef1b2	2.158290156024825	9.152692384000769e-73	8.679803277494063e-71
XM_005337955.5	Gch1	0.8483014535862302	9.237892705186743e-73	8.71054100161637e-71
XM_078028748.1	Il1r1	1.3318705237176556	1.256519938657595e-72	1.1780588356698283e-70
XM_005332343.5	Cth	0.7357071815962666	3.4423525549701943e-72	3.209167203930123e-70
XM_078022300.1	LOC101968879	1.0735040027171718	1.7405301427422665e-71	1.6135105553589967e-69
XM_005320548.4;XM_021723214.3	Nop56	1.0877723917533424	3.3751404677561705e-70	3.1113515563376855e-68
XR_013438885.1	Gch1	0.8357139601861192	1.7450371483220178e-69	1.5997143324700897e-67
XM_005325568.5	Rprd1a	-2.201463798727198	1.7885478087656042e-69	1.630542949858632e-67
XM_078021969.1	Tdo2	0.8036646151285627	2.2109072538710917e-69	2.004515417369609e-67
XM_021728577.3	Por	1.06600296106526	3.644754451822938e-69	3.28645318084865e-67
XM_013360067.2	Por	1.0628677550992391	1.0755305819348372e-68	9.645288115492799e-67
XM_078022299.1	LOC101968879	1.0479020699878254	1.2317779962042958e-68	1.0986793900198424e-66
XM_040282580.2	Cdkn1a	1.6161138521171465	1.6109157629195417e-68	1.429124785157815e-66
XM_005323703.5	Arl6ip1	1.598763188315192	5.590403960999871e-68	4.933008329436304e-66
XM_078046036.1	Matr3	-1.453403175494859	5.775662655225634e-68	5.069372844355223e-66
XM_021732646.3	LOC101963741	1.1707936725370995	8.750473969940064e-68	7.639765660210636e-66
XM_040277214.2	Arl6ip1	1.5942370128560723	9.990221881022009e-68	8.676244803091798e-66
XM_078038949.1;XM_078038948.1	Acacb	1.4818723999230208	1.2191583921899883e-67	1.0532634884569108e-65
XM_005332036.5	Eef2	0.9056448013834704	3.5130043809198594e-67	3.019171108831177e-65
XM_005326576.5	Fh	0.7924210483971565	7.231232839386862e-67	6.18251674003744e-65
XM_005318754.5;XM_040282581.2	Cdkn1a	1.578260066620713	8.895191028823057e-67	7.565956039515942e-65
XM_005322603.5	Rhob	1.2397685710418793	2.2994549567889875e-66	1.945810576511543e-64
XM_078043271.1	Acy1	1.5038460883160012	3.580125471607715e-66	3.014063796275454e-64
XM_005329915.5	Ahcy	0.9274259084896913	4.2817715215339807e-66	3.586472684103158e-64
XM_005317195.4;XM_040289709.2	Itih4	0.7580846471864945	4.907537648658502e-66	4.089862562652219e-64
XM_005316720.5	Rpl4	1.748613912755415	5.282578113511238e-66	4.38029253522859e-64
XM_005331358.5	Dap3	1.0757943235106702	6.067685574057193e-66	5.0061439828758875e-64
XM_078027427.1	Dap3	1.0744052712920265	1.2181014083897855e-65	9.999945940218831e-64
XM_005320725.5	Bag3	1.2729915530385945	2.593053123456342e-65	2.1182163163442128e-63
XM_005326147.4	Ell2	0.8199472266416087	3.4698705577823953e-65	2.8205090676831187e-63
XM_005319109.5;XM_021722236.3;XM_013355973.4	Tra2a	1.1556746899256287	4.2008563360861945e-65	3.3979573726352103e-63
XM_013356574.4	Bag3	1.257751564420788	4.993594167208906e-64	4.019477919664106e-62
XM_005331899.5	Hebp1	0.8248359861920855	5.061037344106834e-64	4.053989185199363e-62
XM_013360511.4	Aldh8a1	0.8221411697994093	9.220217694959371e-64	7.349894308431139e-62
XM_005334942.5;XM_021732980.3	Hmgcs2	0.5654685193994747	9.62596449125855e-64	7.6364442341469874e-62
XM_078021592.1	Hsd17b11	1.0127019442980347	1.757950465101369e-63	1.387939742805631e-61
XM_005320745.5	Acadsb	0.9784109432048881	2.1456666342851542e-63	1.685983101539968e-61
XM_005320128.5	Abhd2	-1.113402784960761	2.782545410096621e-63	2.1760560100475993e-61
XM_005338268.5	Apoe	1.062664792458841	4.7973526278097426e-63	3.734014892051347e-61
XM_078051182.1	Abhd2	-1.1117725298392607	6.671014865566568e-63	5.168000765103942e-61
XM_078020544.1	Adtrp	2.0666582720763262	1.681639198335976e-62	1.296669551950558e-60
XM_078017909.1	C6	1.2974677325511768	8.586644882681972e-62	6.590150102750475e-60
XM_005327636.4	Hgd	1.06887856921147	2.3796056162901834e-61	1.817864457148348e-59
XM_078044189.1;XM_078044192.1;XM_078044194.1;XM_078044186.1	Zbtb20	1.6880577912040664	2.582822371713219e-60	1.964016219153909e-58
XM_021728531.3	Apoa1	-0.7270579204529009	3.056363963219113e-60	2.3134431998659896e-58
XM_005327851.4	Nufip2	0.7123272556287982	7.809139413706217e-60	5.883954770117183e-58
XM_005325005.4	Krt8	1.2052883590833794	1.4872655021421884e-59	1.1155167295840114e-57
XM_005329834.5	Mafb	1.730830526625441	3.5692422197082476e-59	2.664980355991212e-57
XM_040270284.2	Golgb1	0.8251129309544502	1.8335995441920913e-58	1.3628930666087252e-56
XM_005323376.5	Tsc22d3	0.8557725053742556	2.2424476720725162e-58	1.6593107191420892e-56
XM_005335297.4	LOC101976375	0.7971736443985001	2.8279062478856795e-58	2.0831821873375714e-56
XM_078019529.1	Foxo3	1.1751238631400884	2.933692668793761e-58	2.1515050101229265e-56
XM_078049261.1	C5H15orf39	-0.980973443145103	3.324772920740511e-58	2.4275255736787243e-56
