Transcript	Gene	log2fc	pvalue	FDR
XR_013438133.1	LOC110598422	NA	NA	NA
XR_013435083.1	LOC144375359	NA	NA	NA
XM_005316865.5	Morf4l1	-0.22024934044236788	0.11452820984138982	0.2020344227702345
XM_078033692.1	LOC144371303	NA	NA	NA
XM_040285963.2	Il11ra	0.21869089455623703	0.03616446146495936	0.0759030499406378
XR_013437113.1	LOC144376534	NA	NA	NA
XR_013438847.1	LOC144377774	NA	NA	NA
XM_005329632.5	Erp29	0.5686768363836534	3.338365254842678e-08	2.2329292691592635e-07
XM_005321846.4	LOC101958273	NA	NA	NA
XR_013426669.1;XR_013426668.1	LOC120887448	0.3813735864254202	0.00983054710783911	0.024189361441463338
XM_005324991.4	Krt6a	NA	NA	NA
XM_078015388.1	Parp11	NA	NA	NA
XM_005316514.5	Trim69	NA	NA	NA
XM_013362415.4	Arid5b	0.8707633208711469	3.474862237362823e-18	5.892980655572862e-17
XM_005321394.5	Tmem242	0.6520369829553191	0.0004281427143992173	0.0014533599938904515
XR_005729016.2	LOC120886220	NA	NA	NA
XR_013430817.1;XM_078032195.1	Slc7a9	NA	NA	NA
XM_078050399.1	Hnrnpc	0.4840961885367466	6.7480191836992935e-15	8.658558674200782e-14
XM_005334899.4	Txndc2	NA	NA	NA
XR_013430211.1	LOC144370280	NA	NA	NA
XR_013428015.1	LOC144368240	2.282424227965773	8.646970741320801e-141	2.1618737000384022e-138
XM_078049016.1	Wfdc11	NA	NA	NA
XR_013431720.1	LOC144371708	NA	NA	NA
XM_021729960.3;XM_040267865.2	Atg9a	-0.0534292075199106	0.6153060742682677	0.7448162842287649
XM_078027215.1	Pkd2l1	NA	NA	NA
XR_013434505.1	LOC144375084	NA	NA	NA
XM_040268719.2	Letm2	NA	NA	NA
XM_005317049.4	Gpr12	NA	NA	NA
XM_078030491.1	Seh1l	-0.16994260757277774	0.5881560846911098	0.7204206877341279
XM_005333998.5	Rhno1	NA	NA	NA
XM_040273751.2;XM_078047096.1	Arhgap26	NA	NA	NA
XM_078030089.1	Loxhd1	NA	NA	NA
XM_005327758.5	Nle1	NA	NA	NA
XM_078015191.1	LOC144364918	NA	NA	NA
XM_021728065.3	Rnf135	NA	NA	NA
XM_005317623.5	Aunip	NA	NA	NA
XM_078033792.1	LOC144371489	NA	NA	NA
XM_005330746.4	Ets1	-0.13414782167745803	0.6194168822810147	0.7488459209113505
XM_078022359.1	Cacybp	NA	NA	NA
XM_013364524.4	Homez	-0.5627822892909088	0.0002616646042230904	0.0009293430121147686
XM_040289784.2;XM_078038357.1;XM_040289786.2;XM_078038358.1;XM_078038361.1	Hesx1	NA	NA	NA
XR_013436946.1;XR_013436947.1;XR_013436949.1;XR_013436950.1;XR_013436948.1	LOC144376449	NA	NA	NA
XM_078020603.1	Dcdc2	NA	NA	NA
XM_013363295.4	LOC101959559	NA	NA	NA
XR_005737815.2;XR_002485172.3;XR_005737816.2;XR_002485173.3;XM_021733736.3;XM_005336010.5;XM_078016978.1	Pag1	NA	NA	NA
