Transcript	Gene	log2fc	pvalue	FDR
XM_021720868.3	Tat	2.1118959489266427	4.615528932340856e-294	5.5369624257176e-292
XM_005317848.4	Akirin1	-4.63979508255147	1.5125328038531967e-293	1.8014374509201202e-291
XM_078026211.1	LOC101977879	-3.3462441428021243	3.425007584684299e-291	4.050071468889183e-289
XM_005317234.5	Arf4	-3.1200789820410684	3.2977918146082204e-288	3.8719818078609287e-286
XM_005332036.5	Eef2	-3.0711917164855755	2.3815436786568834e-286	2.776510957758078e-284
XM_040279961.2	Tat	2.09408988044228	2.485783632032093e-286	2.877772589391e-284
XM_021719942.3	Crot	-2.561771104338494	7.425071898396759e-285	8.536254533191552e-283
XM_013357937.4	Luc7l	-3.094202962169363	6.668775789884121e-284	7.613902289760802e-282
XM_005340014.5	Crot	-2.5593701436463387	1.122877837198372e-282	1.273235794165688e-280
XM_005337840.5	Jpt2	-4.626300665275355	2.158923870901591e-282	2.431359502229649e-280
XM_013365054.4	Crot	-2.5430989245069173	1.5159874120453562e-281	1.695754838271005e-279
XM_005317771.5	Ak2	-3.1544330003466574	2.4506537972636744e-281	2.7228572895100758e-279
XM_005323669.5	Luc7l	-3.076244663523867	7.635229197523646e-281	8.42674795766693e-279
XM_013357936.4;XM_021725406.3	Luc7l	-3.0657409346871063	8.521594110362676e-281	9.342714602453914e-279
XM_005340098.5	Iscu	-3.504961954161977	1.9804649995603007e-279	2.1570130307711038e-277
XM_013357938.4	Luc7l	-3.058886709034616	6.23463431836348e-279	6.746037329444929e-277
XM_005325830.5	Ppif	-4.563151550231803	9.442141600215894e-279	1.0150302220232086e-276
XM_005318000.5	LOC101977879	-3.293780821453849	1.9332281529976688e-278	2.064812391798478e-276
XM_040281647.2	Mtif3	-4.0511183155210695	3.2837849827363403e-277	3.484811563410264e-275
XM_078016194.1	Mtif3	-4.072581715941798	2.6329472742774206e-276	2.776333893354312e-274
XM_078016193.1	Mtif3	-4.05997604420041	2.726902417215579e-276	2.8572069314559437e-274
XM_005325611.5	Selenop	1.6475381697366887	1.6062961119889166e-275	1.6724674298098439e-273
XM_005327131.5	Srsf6	-2.9974568389622553	3.2515023031374117e-274	3.3642887892774907e-272
XM_078044812.1	Ftcd	-3.2667876179281943	3.0000119335930215e-273	3.084794879542389e-271
XR_013437402.1	Rbm14	-2.537138746864498	3.055101881924576e-272	3.122050102176627e-270
XM_078032794.1	Map1lc3b	-3.437532294234916	4.374245184548835e-272	4.442676627619998e-270
XM_040275820.2	Gdpgp1	-5.918537264093571	7.346361268543361e-271	7.415793341508252e-269
XM_078032793.1	Map1lc3b	-3.415357982374715	2.5386318933252794e-270	2.547093999636364e-268
XM_005337820.5	Hagh	-3.31715158872414	2.736375779172604e-266	2.7289578930242444e-264
XM_013361992.4	Rbm14	-2.0668885645050032	3.0165860632809713e-266	2.990394148360268e-264
XM_005335675.5	LOC101971356	-1.7909794040249847	3.097585087659796e-265	3.052411971798091e-263
XM_078026189.1	Uqcrh	-3.6948578958500606	3.619624307946581e-264	3.545732569115719e-262
XM_078026188.1	Uqcrh	-3.6934253882225163	5.380743884859868e-264	5.239895000815007e-262
XM_021734960.3	Hagh	-3.296465846756816	1.1183779235720322e-263	1.0827337148967834e-261
XM_078037712.1	LOC101975902	-2.6685196062556065	2.242680224620898e-263	2.158579716197614e-261
XM_078020469.1	Ripk1	-2.9558746238167486	1.7476653417711466e-262	1.6724046088451635e-260
XM_040282580.2	Cdkn1a	-3.4350045270239935	1.4621860992849587e-261	1.3911776364173846e-259
XM_005319016.5	Rnf4	-3.7610383507026355	1.5140654952217612e-260	1.432305958479786e-258
XM_005337819.5	Hagh	-3.2743098812539984	7.332270918281611e-260	6.896917332508639e-258
XM_005318754.5;XM_040282581.2	Cdkn1a	-3.411970966490694	1.399694636065884e-259	1.309149418083091e-257
XM_078021049.1;XM_078021051.1;XM_078021053.1;XM_078021055.1;XM_078021050.1	Cpeb2	-4.949223358600985	2.7946154712745725e-259	2.5991493891545252e-257
XM_078021052.1;XM_078021054.1;XM_078021056.1	Cpeb2	-4.887503051122469	3.5617131645851366e-259	3.294087231268544e-257
XR_013426380.1;XR_013426373.1	LOC101963015	-1.3347256536166712	3.0877235686328953e-258	2.839847982150977e-256
XR_013426374.1	LOC101963015	-1.3337187102671584	1.0340929584366338e-257	9.45823697619805e-256
XM_005329915.5	Ahcy	-3.9643340782844945	4.9223710692156783e-256	4.477464453344261e-254
XM_005323378.5	Prps1	-3.2676902251408113	1.46547879239001e-255	1.3257377818588315e-253
XM_078043427.1;XM_078043430.1;XM_078043431.1	Atp1b3	-3.2393194760043755	1.770151878512313e-255	1.5926556711288773e-253
XM_078037710.1;XM_078037711.1	LOC101975902	-2.623650712443662	2.2385194245361934e-255	2.0031723823349558e-253
XM_005318621.5	Hsp90ab1	-2.595385384511502	6.3230549551233e-255	5.627858859250873e-253
XM_005318989.5	Grpel1	-3.527452688562594	1.604800754945716e-253	1.4207206683490015e-251
XM_078052648.1	Naga	-3.72780112363043	1.6660595806032861e-252	1.4671072530259256e-250
XR_013436216.1	LOC144376121	-3.9503688115981657	3.7391363639583776e-252	3.275206481763542e-250
XM_013364075.4	Hagh	-3.2770055815367347	4.051761581883567e-252	3.5303638414780235e-250
XM_005317365.3	LOC101972042	-1.9824782556693914	4.301094764005877e-252	3.727990775817659e-250
XM_078016862.1;XM_005316297.3	Rnf19a	-2.7710993337525496	4.5567967342615236e-251	3.9290505174843505e-249
XM_078019532.1	LOC144366128	-2.5657677986775935	5.8482891014792276e-251	5.016498760362104e-249
XR_005737002.2	LOC101977890	-3.3862152947932564	2.690531710714211e-250	2.2959666222099878e-248
XM_013357679.4	Pcf11	-1.9931792464838172	1.5908406290244727e-249	1.3505829032564177e-247
XM_005323257.5	Pcf11	-1.9930215535942888	1.7680218663029312e-249	1.4933470406451544e-247
XR_257701.4	LOC101977890	-3.368242073709511	9.23086299108737e-249	7.757204914591442e-247
XM_013357197.4;XM_013357196.4	Znf638	-2.652611200859818	1.4154215547482033e-247	1.1834496888311367e-245
XM_005331944.5	Ptbp1	-3.75404696550825	1.7402078060347888e-247	1.4476954888897451e-245
XM_078032266.1;XM_078032269.1	Ptbp1	-3.719003026957148	3.716111544904355e-246	3.07601133129458e-244
XM_005341263.4	Eef1a1	-1.4496176341858293	1.2371467880087422e-245	1.0189534863425238e-243
XM_005331941.5	Ptbp1	-3.713675108060451	1.6283169847729443e-245	1.3344944397483213e-243
XM_078044564.1	Son	-2.1069841172076433	1.8350537109704887e-245	1.496517940153519e-243
XM_005326292.5	Grhpr	-2.2378781366893112	5.4091552534219474e-245	4.3896355500196245e-243
XM_078051112.1	Whamm	-2.771908723825229	2.8022035506171216e-244	2.262950233193485e-242
XM_078053020.1;XM_078053019.1	Nudt4	-3.698726411388787	2.4122926104098493e-243	1.9386167070550997e-241
XM_078050856.1;XM_005333913.5;XM_040275517.2;XM_078050861.1;XM_078050857.1;XM_078050858.1	Slc25a29	-3.5331885363434545	1.017051810924678e-242	8.133957840511132e-241
XM_040285249.2	Cadm1	-2.266278516870003	2.9360608699692596e-241	2.3368503703048602e-239
XM_013364814.4	Cops3	-4.666399549421164	3.244577440333874e-241	2.5700468672118313e-239
XM_078053018.1;XM_078053017.1	Nudt4	-3.6332786723309147	4.017298094257033e-240	3.1669699976392945e-238
XM_005317395.5	Csrnp1	-3.49736050475918	7.170749026821841e-240	5.62614929568889e-238
XR_013425615.1	LOC144366560	-4.075044513583406	3.24921848976406e-238	2.5373024574549062e-236
XM_078014744.1	Tuba1c	-2.0329570794632708	3.770357940611569e-238	2.9304354791936396e-236
XM_005341726.5	Chordc1	-3.5133961002672893	8.64240355166684e-238	6.685747233544137e-236
XM_005324910.5	Tuba1c	-2.0300031675170382	2.0213480212933395e-237	1.5564379763958714e-235
XM_013364096.4	Higd1a	-3.022332000500398	1.0130386257289003e-236	7.764284467102752e-235
XR_001229747.4;XR_013440579.1	Hnrnpa1	-2.1088718071390815	4.46456264893333e-236	3.406029246686234e-234
XM_005322268.5	Nol12	-4.466156291351353	6.491603019100033e-236	4.929747155100966e-234
XR_013431261.1	LOC106145134	-2.9048659332230202	1.5024057121068436e-234	1.1357226741519998e-232
XM_005337922.5	Higd1a	-3.0126710191950803	1.8782829538218162e-234	1.4134079227509167e-232
XR_013430924.1	LOC144370876	-4.8416284400912595	9.453935589704314e-234	7.081896094459498e-232
XM_040285251.2	Cadm1	-2.2392963510760935	4.4862678593703415e-233	3.345502901435856e-231
XM_078030607.1	Ninj1	-3.399458438088109	1.218834183662589e-232	9.048340767055678e-231
XR_013431266.1;XR_013431262.1	LOC106145134	-2.889899841594505	1.3394653476235897e-232	9.899486084780594e-231
XM_078016504.1	Scrib	-4.483587901653588	3.513745276189243e-232	2.5853356909916854e-230
XR_013431263.1;XR_013431260.1;XR_013431265.1;XR_013431264.1	LOC106145134	-2.887901938325644	5.625352853996737e-232	4.120695420261769e-230
XM_005317772.5	Ak2	-2.887772133153873	7.877674231377683e-232	5.7451496431919625e-230
XM_078034475.1;XM_078034484.1;XM_078034469.1	Khsrp	-3.8045046895921764	8.069594628248839e-231	5.859304345204366e-229
XM_078052775.1;XM_078052773.1;XM_078052772.1;XM_078052774.1	Nol12	-4.4563495401288495	1.2925676443990787e-230	9.344304520972378e-229
XM_005337185.5	Ankrd49	-3.251163451713168	1.7247706384105504e-230	1.2414599095168114e-228
XM_013364095.4;XM_005337920.5	Higd1a	-2.987619095705485	3.487217514270169e-230	2.4991725518936214e-228
XM_005328284.3;XM_021728448.3;XM_021728447.3;XM_040285250.2;XM_005328280.4;XM_005328279.4	Cadm1	-2.22822453442509	4.988800788303332e-230	3.5598964245845545e-228
XM_040291605.2	Aass	-3.327799453576023	2.0322230330774113e-229	1.4439249919569334e-227
XM_040275821.2	Gdpgp1	-4.499703147169782	4.766395293009744e-229	3.3721228237511247e-227
XM_040285590.2	Tut7	-4.587814341203061	7.833337730857304e-229	5.518336431248624e-227
XM_040291607.2	Aass	-3.297806109519114	1.5412759633228084e-228	1.0766170283885693e-226
XM_005333945.5;XM_078040306.1	Aass	-3.297718493401447	1.539151212862352e-228	1.0766170283885693e-226
XM_005322989.5	Lactb2	-2.6019747078489903	1.838817564123861e-228	1.2790598644567445e-226
XM_078016502.1;XM_078016503.1;XM_078016506.1	Scrib	-4.449932481573287	2.6009991103365997e-228	1.7941475113176002e-226
XM_078016505.1	Scrib	-4.449932481573287	2.6009991103365997e-228	1.7941475113176002e-226
XM_078030772.1	Fdft1	-2.8518658670852055	3.7346834714829717e-228	2.5654641025062486e-226
XR_013426379.1;XR_013426377.1;XR_013426376.1;XR_013426381.1;XR_013426378.1;XR_013426372.1;XR_013426371.1	LOC101963015	-1.2584639301348435	4.1924964019098336e-228	2.8680486749428634e-226
XM_005322400.4	Slc25a3	-1.8428618915759012	9.823281866179784e-228	6.692363427761577e-226
XM_005338893.5	Clk1	-1.592588439903274	1.0887241806085821e-227	7.38681508605536e-226
XR_013426382.1	LOC101963015	-1.2572467514170353	1.5336617688673044e-227	1.0363171666774786e-225
XM_078027651.1	Anp32e	-3.5924794661349373	2.162395987817412e-227	1.4552221779803764e-225
XM_078028282.1	Slc20a1	-3.3256112400768174	5.444155982825619e-227	3.648906975533527e-225
XM_005327120.4	Oser1	-3.901569870063985	5.932009145656037e-227	3.9598552986425684e-225
XM_040285589.2	Tut7	-4.507841808905053	8.661966683288658e-227	5.758990298869226e-225
XM_013363833.4;XM_040285593.2;XM_040285592.2	Tut7	-4.507182819622319	1.1193221633588384e-226	7.412151365762227e-225
XM_005338568.5	Ndufa6	-3.805851857238358	2.7935192660209355e-226	1.842498464102653e-224
XM_005322565.5	Selenoi	-2.7957521254022666	5.337794783516039e-226	3.506634628615398e-224
XM_078044563.1	Son	-2.0199572020105876	4.982123273097995e-225	3.2600415330489054e-223
XM_021734466.3	Ankrd49	-3.216184626016032	5.263653959607748e-225	3.4307004449333176e-223
XM_021734645.3;XM_078047383.1;XM_021734646.3	Tut7	-4.502159534715565	1.5450053108292684e-224	1.0030416831677859e-222
XM_078029648.1	Lpin1	-2.742299698702654	2.27678971420549e-224	1.4723536608856203e-222
XM_005343082.5	Rnf168	-3.1632099629029335	2.730451383441376e-224	1.758856912563112e-222
XM_005321787.5;XM_078042064.1	Grb7	-4.484430279476116	3.7152585302496867e-224	2.3839575569102158e-222
XM_005328951.5	Hexb	-2.21830275800839	5.157588911061966e-224	3.2966750742328516e-222
XR_013439415.1;XR_005729739.2	Gdpgp1	-4.481727308069306	7.457139886953446e-224	4.729998116035031e-222
XM_040275819.2	Gdpgp1	-4.481727308069306	7.457139886953446e-224	4.729998116035031e-222
XM_005337921.5	Higd1a	-2.970909725724457	1.6700397589428388e-223	1.0552484049350647e-221
XM_005322297.4	Myh9	-3.5644954867764764	3.815723821858037e-223	2.4018748239870647e-221
XM_078030606.1	Ninj1	-3.070070738306573	6.0597535309177535e-223	3.799970443346342e-221
XM_078042065.1	Grb7	-4.4128440722024616	1.5608908037881117e-221	9.751149908193279e-220
XM_021735979.3	Mapk9	-5.179686634555762	1.3789696574008808e-220	8.518224879952083e-219
XM_013364787.4	Mapk9	-5.179686634555762	1.3789696574008808e-220	8.518224879952083e-219
XM_040273742.2	Mapk9	-5.179686634555762	1.3789696574008808e-220	8.518224879952083e-219
XM_013356527.4	Fam204a	-3.897678848510746	1.867040423159902e-218	1.144772377978229e-216
XM_005320712.5	Fam204a	-3.897678848510746	1.867040423159902e-218	1.144772377978229e-216
XM_005334595.5	LOC101955705	-3.48131693344829	2.916542691732954e-218	1.781673957994061e-216
XM_021734538.3	Nup54	-3.1536870363893406	8.095401412929501e-218	4.927182734964996e-216
XM_021723344.3	Fam204a	-3.8680092585091086	1.1044720219171392e-217	6.697631620087267e-216
XM_078027917.1	Eif2ak3	-3.059869433333739	2.0379389607392095e-217	1.2313167698918835e-215
