Transcript	Gene	log2fc	pvalue	FDR
XR_002483160.3	LOC110597361	NA	NA	NA
XR_013427461.1	LOC144367891	NA	NA	NA
XM_078039923.1;XM_078039924.1;XM_078039922.1	Tax1bp1	0.5352556701608715	2.4432324202298316e-13	4.734602916645777e-13
XM_078018958.1	Epm2a	NA	NA	NA
XM_005330708.5	Ptgfr	NA	NA	NA
XM_078039670.1;XM_078039672.1	Kremen1	NA	NA	NA
XM_005333177.4	Prr7	NA	NA	NA
XM_078021299.1	Gsx2	NA	NA	NA
XR_013429913.1	LOC144370007	NA	NA	NA
XM_040274103.2	Mindy2	-1.6857643577415629	4.670935539947524e-126	8.122619523511686e-125
XM_078017883.1	Rpl37	0.20409198164380477	0.048577375897761906	0.060005854199928994
XM_021734437.3	LOC101974694	NA	NA	NA
XM_078029009.1	Tprkb	1.6471585169454186	3.3295197358464334e-05	4.9210069839244446e-05
XR_013425538.1	LOC144366449	NA	NA	NA
XM_078044842.1	Ybey	-1.9160666694533575	1.3221232412197238e-10	2.342689741880823e-10
XM_078048057.1	Tmem268	-0.5539832202177417	0.039649220854030845	0.04928614290722936
XR_013435867.1	LOC144375950	NA	NA	NA
XR_005737233.2	LOC120892532	NA	NA	NA
XM_005327263.5;XM_078045997.1;XM_078045999.1;XM_013359543.4	Sil1	NA	NA	NA
XM_021728569.3	Sh2b2	NA	NA	NA
XM_021722600.3	Lhx4	NA	NA	NA
XR_013435971.1	LOC144375996	NA	NA	NA
XM_040278214.2	Ankrd54	NA	NA	NA
XM_005322187.4	Noto	NA	NA	NA
XM_078032897.1	LOC144370970	NA	NA	NA
XM_078044021.1	LOC101969846	NA	NA	NA
XR_013429635.1;XR_013429636.1	LOC120886242	NA	NA	NA
XM_005333988.5	Dcp1b	NA	NA	NA
XM_078014838.1	Slc38a1	NA	NA	NA
XM_005328250.5;XM_040268527.2	LOC101961352	NA	NA	NA
XM_005317401.5	Rpsa	-1.9261368364173115	1.7917285981750064e-34	6.082031360013785e-34
XR_013429657.1	Mib1	NA	NA	NA
