Transcript	Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
XM_021734874.3	Adcy9	831.769622827638	-0.6364603918226016	0.20478520723062937	-3.1079412445344214	0.0018839551866714874	0.006662999403078844
XR_013424450.1;XR_013424451.1	LOC144365690	20.941586785346356	-1.5794288836890178	0.508683822375127	-3.1049324044047815	0.0019032251384981194	0.006728895848242346
XM_078027998.1;XM_078027995.1;XM_078027997.1	LOC144368986	271.2271847865166	-1.3702086510139342	0.4413239373554416	-3.1047684819107606	0.0019042801527107457	0.006730370388977678
XM_078019786.1	LOC101977946	18.885188315518093	1.8057184891568652	0.5816329893330567	3.10456683557003	0.0019055786964044135	0.006732704369412781
XM_005317395.5	Csrnp1	438.8361000613677	1.194404107320055	0.38476214960734834	3.1042661252905215	0.0019075166936895112	0.006737295319191276
XR_005730584.2	LOC120887362	86.64449559198749	1.3860113136075785	0.44661704924017015	3.1033551360513454	0.0019133988288319217	0.0067558091178637125
XM_005338857.5	LOC101968186	240.55338984690465	-0.7668786776156026	0.24713298015264298	-3.1031013227855544	0.0019150406314099658	0.006759343814444677
XM_005318659.5	Mrpl2	55.974154069167305	1.2454755364344101	0.4013877779751491	3.102923419136894	0.0019161921802753178	0.006761146321707225
XM_005328976.5;XM_013360187.4;XM_040273235.2	Pde8b	971.2714346125846	-0.6077411735993135	0.19587831572851203	-3.1026465146945856	0.0019179858145319324	0.00676521241835904
XM_078026996.1	LOC144368243	162.56841158919585	1.918010685711414	0.6182792179090713	3.1021755707685634	0.0019210398707722586	0.006773720132569294
XM_078031626.1;XM_078031624.1	Scaf1	173.98976307301027	-0.7118809865905897	0.2294916592747537	-3.1019906729521107	0.0019222401475053942	0.006775687790237858
XM_005323968.4	Atp6ap2	308.63568266737417	0.7860512943982975	0.253450383052461	3.101401090546369	0.0019260720622063866	0.006786927273305737
XR_013434520.1	LOC144375086	79.18997801475564	-1.1581260612609832	0.3736246869805744	-3.099704333298503	0.0019371390912108872	0.006823645212779586
XM_040287396.2	Ddx20	92.692890359939	0.928630141724466	0.29961716775602787	3.099388959182174	0.0019392025293309438	0.006828633739800219
XM_078050399.1	Hnrnpc	3647.476894236703	0.5106780742185428	0.16485570144423997	3.0977277081998413	0.001950105158453944	0.006864734541771474
XM_005317174.4	Phf7	105.19882056158615	1.0885052146429979	0.3514409159267465	3.097263765582387	0.0019531600059737794	0.006873194817552826
XM_005338780.5	Ajuba	71.67049607372375	-1.660182828599509	0.5360872027480998	-3.096852191376795	0.0019558737085870193	0.006880449358317124
XM_078020258.1	Tnxb	589.8724082482858	-0.6278043015222569	0.2027423934157437	-3.0965615574779215	0.0019577920794944825	0.0068849021462222635
XR_013431771.1	Zmat1	315.5762114565284	0.8606369180207438	0.2780006021650503	3.09580954615983	0.001962763858567948	0.0069000862072282065
XM_005329833.3	Top1	1763.8351589797223	-0.5825365726614873	0.18818387871390646	-3.095571079960097	0.001964342851076118	0.006903336801749848
XM_005322832.5	Slc39a9	366.37279244846803	-0.6003287951557184	0.19398097304839385	-3.0947818526817574	0.0019695770014259402	0.006919426361985903
XM_078023052.1	Tsnax	334.0810139171605	0.7323848187584593	0.2368093754851582	3.0927188472078075	0.0019833193708610366	0.006963068007515453
XM_005320314.4	Net1	560.2265442134028	-0.7344755409513842	0.23747886029116996	-3.09280388178911	0.00198275119242766	0.006963068007515453
XM_005327294.5	Sra1	221.49023684192994	0.8157537220408991	0.2637948355589235	3.0923794255201984	0.0019855887853382354	0.006968716462181764
XM_005325460.4	Sap30l	188.34080388577468	1.009033539290025	0.32637233555604594	3.09166381265409	0.001990381271529008	0.006983213307160304
