long-eRNA	log2fc	pvalue	FDR
16:52132293-52144370:-	-1.1204060960192712	1.0804144227553764e-05	3.826467747258625e-05
1:224151876-224187288:-	0.7389918412559665	2.3022166216157382e-05	7.82753651349351e-05
nw_027524982.1:409527-424450:-	1.182492366941928	2.7387203229215866e-05	8.953508748012879e-05
nw_027522720.1:2591143-2611780:+	-0.5141074206672288	0.000125776895190438	0.0003959642996736011
7:192807325-192822641:+	0.7587414216648966	0.00019469399875421175	0.000591035353361
1:14553169-14595407:+	-0.7323223504803291	0.00023649711651597402	0.0006931812035813031
5:120454752-120468094:-	-0.5647749743747262	0.00047191477411060427	0.0013370918599800454
nw_027521144.1:48632-62679:-	-0.333800957169836	0.0005712707496862631	0.0015663875394623342
nw_027524086.1:155240-165985:-	-1.8133774481755636	0.0008003479563667838	0.0021259242590992693
nw_027522720.1:1243967-1258778:+	0.7267784201514648	0.0009717526409519894	0.002502999226694518
13:23857811-23868554:+	-0.6707117510115754	0.0013656563531849832	0.003414140882962458
12:115554913-115565201:-	-0.4945100650389914	0.00170306822236305	0.004136022825738835
nw_027521991.1:211412-232231:+	0.43697255157073295	0.00244925296443973	0.005626662215604785
nw_027520944.1:158806-171766:-	0.41366241586294383	0.0023903590687072147	0.005626662215604785
9:51694582-51704664:+	0.6642004416846102	0.0036013315340536656	0.008055610010383199
13:16561388-16573783:-	-0.5894842730405317	0.005505558578488134	0.011999294337730549
10:98956609-98968613:-	-0.5047074284903854	0.010833398362579991	0.02302097152048248
1:212390451-212422281:+	-0.2751698787383077	0.020004933296953784	0.04147364220100175
nw_027522374.1:153307-175244:+	0.2995549663930741	0.03147925394302414	0.06370801393231075
nw_027521924.1:127825-148886:-	0.2812187311030887	0.04418865090639337	0.08734965876845202
12:117058947-117072107:+	-1.1480014330412829	0.04856626307844338	0.09382119003790199
4:162837207-162876728:-	-0.18807117701326537	0.05217607079265515	0.09855480038612639
nw_027522124.1:17044-30578:+	-0.3051980025283056	0.054994401448638146	0.1016200896333531
nw_027526179.1:359528-420009:+	1.3548545765862128	0.05870459869775908	0.10395606019394837
3:180478421-180502079:-	0.8034606001813908	0.05867612945751439	0.10395606019394837
nw_027520953.1:171013-213655:-	0.720336347821584	0.06678002181335489	0.11352603708270331
nw_027522565.1:157936-188176:+	1.1196872485527802	0.06639951978316462	0.11352603708270331
nw_027522939.1:1216-16031:-	0.3425720254413684	0.0811570162362866	0.13526169372714433
nw_027521353.1:235236-254357:+	1.0241022471612613	0.0877708526919025	0.14347158613099448
16:51857399-51867670:+	0.4959569349846283	0.09088624863590189	0.14576096479342757
1:201105641-201146342:-	-1.547538644141216	0.10419040023901198	0.16400340778362998
nw_027526147.1:276771-298458:-	0.36981248097093594	0.11051613936664172	0.17079766993026446
3:214153198-214163282:-	-0.5072926330634284	0.1424187328995557	0.2161712910082542
9:39192407-39210563:-	-0.28216986885885187	0.1556557948223428	0.23211829052454627
4:207685641-207696596:+	-0.10893792806976499	0.1603897934662854	0.2350540076661079
nw_027526100.1:937628-958612:-	-0.1878575901508583	0.18518991611126612	0.2667990316857224
9:58265767-58283138:-	0.2404882861870721	0.2115319246630799	0.2996702266060298
11:4794617-4810418:+	0.15834359477427207	0.28251298330036473	0.39366563246772135
8:102753538-102771353:+	-0.23659060130477777	0.3040111124846926	0.4167894284064334
nw_027521046.1:98400-120012:-	-0.16721004829314298	0.38361639987353835	0.5175776823690597
nw_027520944.1:90890-133681:+	0.14219807815146748	0.44120111687225483	0.5859702333459634
nw_027523416.1:1375459-1397465:-	0.11618798189125225	0.4586285655292699	0.5997450472305837
4:141307998-141332204:-	-0.10345158228158471	0.4980524581942988	0.6414311961593242
nw_027524440.1:581425-602450:+	-0.0963191043284472	0.5173295795546506	0.6563136457036612
nw_027521478.1:225429-246241:+	-0.09437851841508253	0.5342045071661145	0.667755633957643
nw_027523264.1:1018013-1041655:+	-0.08651211998568313	0.5570804117509831	0.6844662774642785
7:12273331-12289051:-	0.18111188449928042	0.5636781108529352	0.6844662774642785
6:24762562-24773856:+	-0.22489980234433796	0.5769173736736	0.690675729045859
13:23812570-23824536:-	0.12309761484542793	0.7228268406128517	0.8533372423901722
nw_027521300.1:175502-202680:-	-0.030588650504036297	0.7625504782980237	0.8759025764234056
nw_027522627.1:22363-40747:-	0.1773642084608834	0.7568941707476968	0.8759025764234056
nw_027521049.1:408451-430008:-	0.04656203479429373	0.7736853979823296	0.8768434510466403
nw_027520944.1:213475-231172:+	0.0450983871834046	0.797895562262139	0.8807938024971664
nw_027520961.1:213088-252449:+	-0.10531975554456138	0.7879726484550886	0.8807938024971664
nw_027523079.1:149553-166825:-	-0.1354912430337414	0.8411341958206362	0.9050178056297984
1:206558541-206602456:-	-0.2022064790145141	0.8373975955028715	0.9050178056297984
nw_027522984.1:14502-35092:+	-0.026352759637649884	0.8834915674885324	0.9387097904565657
nw_027523678.1:110955-123140:-	-0.06670814555488583	0.8982929658296267	0.9413521604094885
10:109735216-109756839:+	0.1082616986923255	0.9081279665126831	0.9413521604094885
nw_027523806.1:7824-40506:-	-0.030633496651676174	0.9396155562617609	0.9622568949668635
nw_027522803.1:40462-62439:-	0.019757350596758712	0.978997965199644	0.990652702880592
2:229072106-229086940:+	-0.005980076696711552	0.9962001245984126	0.9962001245984126
