Transcript	Gene	log2fc	pvalue	FDR
XM_013363406.4	Rinl	NA	NA	NA
XM_040281619.2	Brca2	NA	NA	NA
XM_005335358.4;XM_040276882.2;XM_005335357.4;XM_078022514.1;XM_005335356.5;XM_040276879.2	Kcnt2	NA	NA	NA
XM_078019460.1;XM_078019458.1;XM_078019459.1;XM_078019457.1;XM_078019461.1;XM_078019463.1;XM_078019462.1;XM_078019464.1	LOC144366099	NA	NA	NA
XM_021732920.2	LOC101977395	NA	NA	NA
XM_078051049.1	Cdca4	NA	NA	NA
XM_078029449.1	Ypel5	-0.6172944518751718	4.2240594320785805e-14	2.0300402478492256e-13
XR_013430084.1	LOC144370154	NA	NA	NA
XM_078027037.1	Slc16a1	NA	NA	NA
XM_040283160.2;XM_013365375.3	LOC101971760	NA	NA	NA
XM_078015222.1	LOC144364925	NA	NA	NA
XR_002483160.3	LOC110597361	NA	NA	NA
XR_013427461.1	LOC144367891	NA	NA	NA
XM_078039923.1;XM_078039924.1;XM_078039922.1	Tax1bp1	-0.2561379101690192	0.000550234255183559	0.001164949619098566
XM_005330708.5	Ptgfr	NA	NA	NA
XM_078039670.1;XM_078039672.1	Kremen1	NA	NA	NA
XM_005333177.4	Prr7	NA	NA	NA
XM_078021299.1	Gsx2	NA	NA	NA
XR_013429913.1	LOC144370007	NA	NA	NA
XM_040274103.2	Mindy2	NA	NA	NA
XM_078017883.1	Rpl37	1.2158446589975325	4.8056531151849296e-43	8.812424345948442e-42
XM_021734437.3	LOC101974694	NA	NA	NA
XM_078029009.1	Tprkb	1.0256011154027413	0.006475990123186344	0.011808346479547602
XR_013425538.1	LOC144366449	NA	NA	NA
XR_013435867.1	LOC144375950	NA	NA	NA
XR_005737233.2	LOC120892532	NA	NA	NA
XM_005327263.5;XM_078045997.1;XM_078045999.1;XM_013359543.4	Sil1	NA	NA	NA
XM_021728569.3	Sh2b2	NA	NA	NA
XM_021722600.3	Lhx4	NA	NA	NA
XR_013435971.1	LOC144375996	NA	NA	NA
XM_040278214.2	Ankrd54	NA	NA	NA
XM_005322187.4	Noto	NA	NA	NA
XM_078032897.1	LOC144370970	NA	NA	NA
XM_078018483.1	Tent4a	NA	NA	NA
XM_078044021.1	LOC101969846	NA	NA	NA
XR_013429635.1;XR_013429636.1	LOC120886242	NA	NA	NA
XM_078021525.1	Gpat3	-1.9245358603824008	5.697484046297903e-61	1.907597936362247e-59
XM_005328250.5;XM_040268527.2	LOC101961352	NA	NA	NA
XM_005317401.5	Rpsa	0.3752414703767373	0.00014784635451609997	0.0003353000105270353
XR_013429657.1	Mib1	NA	NA	NA
XM_040291515.2	Gngt1	NA	NA	NA
XM_005332279.5	Cav1	NA	NA	NA
XM_078014942.1	Sinhcaf	NA	NA	NA
XR_013436387.1;XR_013436386.1;XR_013436388.1;XR_013436385.1;XM_078042963.1;XM_078042961.1;XM_078042962.1;XM_078042964.1	LOC110597402	NA	NA	NA
XM_040291099.2	LOC101959458	NA	NA	NA
XM_078030985.1	LOC144370309	NA	NA	NA
XM_005320171.5	Wdr73	NA	NA	NA
XM_040283537.2;XM_040283539.2	Drp2	NA	NA	NA
XR_013431338.1	LOC120891473	NA	NA	NA
XR_013427248.1	LOC144367723	NA	NA	NA
XR_013428886.1;XR_013428885.1	LOC106144768	0.06787702552844936	0.5119064988694475	0.5997951163647018
XM_005337978.5	Txndc16	NA	NA	NA
XM_078048041.1;XM_078048040.1;XM_013356651.4;XM_078048039.1;XM_078048037.1	Whrn	NA	NA	NA
XM_005321425.4	Slc22a2	NA	NA	NA
XM_040288964.2	Selenof	-0.4322209523735314	1.8924256061012727e-06	5.107668353807647e-06
XM_078016590.1	Ly6k	NA	NA	NA
XM_078015815.1	LOC144365045	NA	NA	NA
XM_013359124.4	LOC101974755	NA	NA	NA
XR_013435648.1	LOC120888255	NA	NA	NA
XM_005331975.5	Uqcr11	-1.0970827330906363	1.5480845221694705e-15	8.09727242121598e-15
XM_078034299.1	LOC144371691	NA	NA	NA
XR_013435794.1	LOC144375931	NA	NA	NA
XM_005340258.1	Il36a	NA	NA	NA
XM_078050574.1;XM_005321257.5	Tgfb3	NA	NA	NA
XR_013426957.1	LOC101966606	0.7634653997615961	0.14028213951203686	0.1965512345353729
XM_078033927.1	Gucy2f	NA	NA	NA
XR_005726747.2	LOC120884342	NA	NA	NA
XM_005331051.4	Eef1akmt4	NA	NA	NA
XM_078035260.1	LOC144371933	NA	NA	NA
XM_013364815.4	Flcn	1.339880741997479	1.2599551566267326e-40	2.0549640395354404e-39
XM_021720219.3;XM_040282982.2	Impg1	NA	NA	NA
XM_005330546.4	Mrpl44	NA	NA	NA
XM_078035196.1	LOC144371890	NA	NA	NA
XM_078029135.1	LOC101971192	-0.5685770286531193	0.00011596355348856265	0.00026663357568012613
XM_005318436.5	Tmem170a	NA	NA	NA
XM_078033637.1	LOC144371211	NA	NA	NA
XM_005337492.5	Pbdc1	NA	NA	NA
XM_005333575.3	Vegfb	0.7969640817922132	0.03850164403765695	0.0610382346034352
XR_013425276.1	LOC120885522	NA	NA	NA
XM_021720900.3	Rnase6	NA	NA	NA
XM_005332647.5	Ndufaf8	-0.6438780784498707	0.004050070602644304	0.007605384473783491
XM_005325490.3	LOC101966422	NA	NA	NA
XM_078050161.1;XM_005322877.5	Dmac2l	NA	NA	NA
XM_013363245.4	Icam1	NA	NA	NA
XR_013430624.1	LOC144370711	NA	NA	NA
XM_078039709.1	LOC144375323	NA	NA	NA
XR_013427529.1	LOC144367910	NA	NA	NA
XR_013426923.1	LOC144367491	NA	NA	NA
XM_078023175.1	Rbm17	0.05483913792944514	0.6896998532250771	0.7652447982378628
XM_078042467.1	Msmb	NA	NA	NA
XM_078038104.1;XM_078038129.1;XM_078038134.1;XM_078038136.1	Cpeb3	NA	NA	NA
XM_078027811.1	LOC120890498	NA	NA	NA
XR_013423263.1	LOC120885601	NA	NA	NA
XM_078024230.1	LOC101978286	NA	NA	NA
XR_013428244.1;XR_013428243.1	LOC120890578	0.40308563378038914	0.02015554178904913	0.03378477167324793
XM_005338444.5;XM_078027929.1	Polr1a	NA	NA	NA
XM_040271212.2	Lrrtm4	NA	NA	NA
XM_021724264.3	Nsmce2	NA	NA	NA
XM_040284839.2	LOC101969848	NA	NA	NA
XR_013427522.1	LOC144367903	NA	NA	NA
XR_013438214.1	LOC110598031	NA	NA	NA
XM_078042611.1	Doc2b	NA	NA	NA
XR_013430759.1	LOC144370799	NA	NA	NA
XM_013360709.4	Cep57l1	NA	NA	NA
XM_078030804.1	Extl3	NA	NA	NA
XR_005731931.2	LOC120888363	NA	NA	NA
XR_013431698.1	LOC144371698	NA	NA	NA
XM_021734809.3	Mospd1	-1.7667563971293478	1.9473827518838445e-69	8.413578662116338e-68
XM_078019953.1;XM_078019952.1;XM_078019951.1;XM_078019949.1	Tmem63b	-1.731073314534417	2.778576963965777e-09	9.398709623663598e-09
XM_078027229.1	LOC144368388	NA	NA	NA
XM_040294396.2;XM_005315729.5	Grb14	-1.2073604035401808	1.671920216807656e-07	4.91492834868766e-07
XM_005321207.5	LOC101972642	-1.2971067138736836	1.3748588740229671e-09	4.7654903718920065e-09
XM_078045933.1;XM_078045932.1;XM_078045931.1;XM_078045930.1	Cd6	NA	NA	NA
XR_013425278.1	LOC144366264	-1.0841663624446851	2.1121495045082897e-09	7.204299416394005e-09
XM_005331309.4	Kcnn3	NA	NA	NA
XM_078018520.1	LOC101971668	NA	NA	NA
XM_021724432.3	Kctd17	NA	NA	NA
XM_078045471.1;XM_078045470.1	C4H11orf24	-2.0550247977332132	5.630019565445236e-56	1.689894820091273e-54
XR_005734951.2	LOC120890628	NA	NA	NA
XM_040273761.2	Gpbp1	-0.6027764208616985	0.001064536205460353	0.002161285147646989
XR_013438133.1	LOC110598422	NA	NA	NA
XR_013435083.1	LOC144375359	NA	NA	NA
XM_078033692.1	LOC144371303	NA	NA	NA
XM_040285963.2	Il11ra	-1.113395672131171	4.346057843999484e-19	2.7985210257052e-18
XR_013437113.1	LOC144376534	NA	NA	NA
XR_013438847.1	LOC144377774	NA	NA	NA
XM_005329632.5	Erp29	-0.4361209444397383	6.936788504541539e-06	1.7884495859584265e-05
XM_005321846.4	LOC101958273	NA	NA	NA
XR_013426669.1;XR_013426668.1	LOC120887448	-0.8019228944441209	2.2867863301386708e-06	6.1400858949062335e-06
XM_005324991.4	Krt6a	NA	NA	NA
XM_078015388.1	Parp11	NA	NA	NA
XM_005316514.5	Trim69	NA	NA	NA
XM_013362415.4	Arid5b	-0.34403604317558656	0.0005014147812872137	0.0010676671428802662
XM_005321394.5	Tmem242	-0.680687236835802	0.00034173342546440746	0.0007421575496662283
XR_005729016.2	LOC120886220	NA	NA	NA
XR_013430817.1;XM_078032195.1	Slc7a9	NA	NA	NA
XM_005334899.4	Txndc2	NA	NA	NA
XR_013430211.1	LOC144370280	NA	NA	NA
XR_013428015.1	LOC144368240	1.3492997035208965	1.937409186761241e-41	3.2689481041714075e-40
XM_078049016.1	Wfdc11	NA	NA	NA
XR_013431720.1	LOC144371708	NA	NA	NA
XM_021729960.3;XM_040267865.2	Atg9a	-1.1463725860805816	1.1470609182889992e-31	1.318003039019912e-30
XR_013434505.1	LOC144375084	NA	NA	NA
XM_005317049.4	Gpr12	NA	NA	NA
XM_078030491.1	Seh1l	0.2278676357785595	0.37829649315652725	0.4662014479157981
XM_005333998.5	Rhno1	NA	NA	NA
XM_078030089.1	Loxhd1	NA	NA	NA
XM_005327758.5	Nle1	NA	NA	NA
XM_078015191.1	LOC144364918	NA	NA	NA
XM_021728065.3	Rnf135	NA	NA	NA
XM_005317623.5	Aunip	NA	NA	NA
XM_078033792.1	LOC144371489	NA	NA	NA
XM_078022359.1	Cacybp	NA	NA	NA
XM_013364524.4	Homez	-1.0611097785989556	6.245425332086393e-13	2.7725215881335263e-12
XM_040289784.2;XM_078038357.1;XM_040289786.2;XM_078038358.1;XM_078038361.1	Hesx1	NA	NA	NA
XR_013436946.1;XR_013436947.1;XR_013436949.1;XR_013436950.1;XR_013436948.1	LOC144376449	NA	NA	NA
XM_078020603.1	Dcdc2	NA	NA	NA
XM_013363295.4	LOC101959559	-1.9017273648659132	0.0001676014554441756	0.000377351401657376
XM_078046803.1;XM_078046801.1;XM_078046800.1;XM_078046791.1;XM_078046796.1;XM_078046790.1;XM_078046802.1;XM_078046798.1;XM_078046797.1;XM_078046792.1;XM_078046799.1;XM_078046795.1;XM_078046794.1;XM_078046789.1;XM_078046787.1;XM_078046810.1;XM_078046808.1;XM_078046806.1;XM_078046809.1;XM_078046807.1;XM_078046805.1	Crebzf	-0.9196815651838759	3.7047744475963047e-48	8.530953704431383e-47
XR_005737815.2;XR_002485172.3;XR_005737816.2;XR_002485173.3;XM_021733736.3;XM_005336010.5;XM_078016978.1	Pag1	NA	NA	NA
XM_078017057.1	Prdm14	NA	NA	NA
XM_078028246.1;XM_078028227.1;XM_078028233.1;XM_078028241.1	Sppl2b	NA	NA	NA
XM_005334553.5	Rtn4r	NA	NA	NA
XM_078018064.1;XM_078018069.1	Dnah5	NA	NA	NA
XM_078021594.1	Scpppq1	NA	NA	NA
XM_078044920.1	LOC120889641	NA	NA	NA
XM_078042311.1	Rnf43	0.0328860163659458	0.7095043925505822	0.7831580988554795
XM_013357604.4	Lman1	-0.02464238746603717	0.8139298341176158	0.8732927086365414
XR_013437612.1	LOC144377050	NA	NA	NA
XR_013424573.1	LOC144365840	NA	NA	NA
XM_078030662.1	Sema4d	NA	NA	NA
XR_013426266.1	LOC144367059	NA	NA	NA
XM_013366227.4	Vps35	NA	NA	NA
XR_013435160.1	LOC144375401	NA	NA	NA
XR_013437729.1	LOC144377082	NA	NA	NA
XM_078033686.1	LOC144371284	NA	NA	NA
XR_013439684.1;XR_013439683.1;XR_002484483.3	LOC106145032	0.6696102390710256	1.2799045067962504e-09	4.447174290572106e-09
XM_013365378.3	Gprasp1	-0.4808441162048782	0.25382894653871524	0.3315083546817465
XR_005737282.2	LOC120892562	NA	NA	NA
XM_040281320.2;XM_005337574.5;XM_078015679.1	Mtmr6	NA	NA	NA
XM_013365330.4	Bcl2l13	-0.8734649297766244	2.8056780569395182e-42	4.938512950224097e-41
XM_005338016.5	Maml2	NA	NA	NA
XM_005337150.4	LOC101977217	NA	NA	NA
XR_013438685.1;XR_005730040.2	LOC120886892	NA	NA	NA
XM_005335852.3	Hhipl2	NA	NA	NA
XR_013434647.1;XR_013434648.1	LOC144375166	NA	NA	NA
XM_005335236.3	Nkx2-3	NA	NA	NA
XM_021720644.3	A3galt2	1.4117953293851575	1.5862477910718903e-08	5.069888559209597e-08
XM_078025587.1	Htr1d	NA	NA	NA
XM_078032439.1	Cmtm3	NA	NA	NA
XR_013426347.1	LOC144367106	NA	NA	NA
XM_078039023.1;XM_078039039.1;XM_021735436.3;XM_078039018.1	Sh2d4b	-0.11672109124174701	0.7836114426279813	0.8475877327781501
XM_078015055.1	Lmntd1	NA	NA	NA
XM_040268755.2;XM_040268756.2	Ezh1	NA	NA	NA
