long-eRNA	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
9:18416551-18445179:-	12.653143459039248	-2.419326364965874	0.830884488026989	-2.9117481428866063	0.0035941230347487727	0.010183348598454857
nw_027524315.1:236159-275348:+	14.500153025116292	-2.2769181971029995	0.788392310466467	-2.8880522639240587	0.003876354580372077	0.010686166681025726
nw_027522720.1:2591181-2611912:+	24.533384667142524	-1.9798782006776887	0.6894632412810962	-2.8716225639511457	0.004083703890817314	0.01096152097008858
nw_027520961.1:213078-253639:+	9.910331657979446	-3.7132796153463143	1.3267008467760228	-2.7988823737995245	0.005127981402094286	0.013411643667015825
nw_027523264.1:1017985-1042419:+	27.34010492538582	-2.35253011826224	0.8470152157451832	-2.7774354870266897	0.005478971540783073	0.013971377428996835
nw_027526147.1:276960-298458:-	7.730745837818868	-2.806592151286657	1.02724440833498	-2.7321561728778367	0.0062921307476045945	0.01565359356721143
11:96007074-96080761:+	10.614478283999537	-2.751810334417351	1.0247742718483126	-2.6852843694583646	0.007246811916860477	0.0175994003695183
10:98952269-98974927:-	23.372983113799737	-2.324163720220113	0.8829988354995357	-2.6321254647015158	0.008485252144128522	0.020127807411653705
nw_027523678.1:100644-123046:-	5.176082193267402	-3.000483098167138	1.1531448749644546	-2.602000115778711	0.009268182096007542	0.02148533122256294
nw_027522374.1:153307-175364:+	19.116513273370852	-2.0879382477854267	0.8225803383897587	-2.538278816477267	0.011139919464867237	0.025250484120365735
nw_027520944.1:199812-214098:-	38.48671287885711	-2.676554559628834	1.0590932780076003	-2.527213244771086	0.011497167016850099	0.025493718167798045
nw_027522592.1:95149-138190:-	8.23472567112845	-2.280864951060053	0.9239916487083423	-2.4684908724537697	0.013568411237569598	0.02944633928153402
9:39190416-39210556:-	6.136411676231745	-2.3441380174193283	0.9691912919379386	-2.4186536104055643	0.015578066637816124	0.033103391605359266
nw_027521049.1:408404-429998:-	26.58873177180267	-2.0409550748315706	0.8554808107149696	-2.3857403337029135	0.01704478123259088	0.03408956246518176
nw_027524440.1:581481-603178:+	21.203540190183325	-1.753809705213641	0.7339586187443664	-2.3895212351535626	0.01687034856552163	0.03408956246518176
13:17390005-17402825:+	23.072604538263224	-2.0372001282544594	0.8530508404309107	-2.388134483550109	0.01693414383674662	0.03408956246518176
nw_027524348.1:896153-909412:-	30.51996790488879	1.8034266608372829	0.7667814045040915	2.351943657271699	0.01867560352095641	0.03594172753089724
12:113017045-113028000:+	23.115993763158546	-2.4047648960789676	1.01982396087132	-2.358019607643243	0.018372722490062908	0.03594172753089724
2:84061698-84090151:+	3.1052051533959357	-3.369869577409116	1.5971068895563254	-2.1099837458877047	0.034859755944615774	0.06584620567316313
6:45666761-45687764:-	23.208099071515633	-1.622575428623361	0.8187035522243722	-1.9818839483655755	0.04749223086983711	0.08713508190194671
nw_027522939.1:65023-76707:+	68.97862265603419	-1.428538153992357	0.721922545548469	-1.9787969814781834	0.04783886849518643	0.08713508190194671
13:16561343-16571538:-	4.252100464334461	-2.106884140206436	1.0801667891951472	-1.9505174212737237	0.05111447901033271	0.09146801507112169
nw_027524086.1:134959-165985:-	4.210075930594684	-2.4334644132765857	1.2560890351048757	-1.937334333209434	0.052704487988130794	0.09268720301360933
nw_027521246.1:97528-137868:+	8.3488538869668	-1.7332525410649946	0.9622414000852074	-1.8012658163653252	0.07166099300349332	0.12388849637892066
12:117058947-117072107:+	14.35729413671195	-7.438529070994074	4.205991783520873	-1.7685553024944844	0.07696811552699523	0.1290262011894976
9:51535489-51555402:+	10.384590213669922	-1.384334488294021	0.7844091683154207	-1.7648117133395906	0.07759541538874593	0.1290262011894976
nw_027522124.1:17044-31986:+	12.690488664696838	-1.7669644880017443	1.004023990371107	-1.7598827368145251	0.07842769091910638	0.1290262011894976
nw_027523416.1:1375455-1397456:-	20.040489523479884	-1.2872098751429073	0.7467988491817498	-1.7236366614025629	0.08477345584579021	0.1372522618455651
nw_027521401.1:188930-252485:+	12.184059550040159	-1.6108623004977871	1.0074261647854317	-1.5989879524728041	0.10982327954712572	0.1750308517782316
nw_027522803.1:40169-65679:-	6.388840885559778	1.4311366171279885	0.901522593557031	1.5874661681870026	0.11240710349713075	0.17639268548780518
nw_027520990.1:727637-743995:-	10.912686593795593	-2.010149807465319	1.2821612464236156	-1.5677823776629587	0.11693192889755501	0.1807129810234941
16:37099404-37109727:-	5.009820906459649	-1.595384463494655	1.0274067719470172	-1.5528265016895646	0.12046458953641222	0.1833938527270753
nw_027523944.1:76720-90147:-	6.280758663900155	-1.3671624509876723	0.8906308791422386	-1.535049461011703	0.1247716790863459	0.18715751862951885
1:14553169-14596100:+	12.452362409861623	-1.1892793567779185	0.780737999987826	-1.5232758707741432	0.12768970127884746	0.1887586888469919
